Sample ,Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,22,654,226,33,1,1,1,0,0,0,37,9,0,234,0,5,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,21,2294,0,33,0,0,1,0,1,0,12,4,0,0,0,9,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,18,831,772,14,0,0,1,0,1,1,22,13,0,20,1,16,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,18,271,479,16,1,0,1,0,1,1,55,30,0,758,0,3,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,29,1674,615,42,1,1,1,0,1,1,26,11,0,48,0,12,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,24,118,213,8,1,1,1,1,1,1,30,18,0,41,0,2,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,20,349,181,14,0,1,1,0,1,0,15,8,0,26,0,1,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,22,2321,1686,42,0,1,1,0,1,0,34,19,0,543,0,9,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,23,83,685,8,1,0,1,0,1,0,31,12,0,36,1,6,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,21,612,506,16,0,0,1,0,1,0,40,27,0,37,0,3,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,21,1334,0,28,0,0,0,0,1,0,18,8,0,79,0,12,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,20,390,302,16,0,0,1,1,1,0,4,2,0,14,0,11,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,25,9022,2123,140,0,1,1,0,1,1,50,35,1,332,0,2,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,22,158,72,13,1,1,1,1,1,0,3,1,0,31,0,8,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,20,1192,1105,26,0,1,1,0,1,0,11,1,0,149,0,2,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,26,507,665,18,1,0,0,0,1,0,31,17,0,367,0,7,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,21,162,334,10,1,1,1,0,1,0,10,4,0,77,0,1,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,23,385,309,32,0,0,1,0,1,1,654,546,0,146,0,5,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,24,70,1,6,1,0,1,0,1,0,2,5,0,28,0,3,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,24,944,0,110,0,1,1,0,1,0,63,4,0,230,0,10,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,21,233,4,11,1,0,1,0,1,0,14,2,0,35,0,17,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
